guid,name,steamid
FF011000010E6FCA60,Definitely Not Lynda,76561198202473056
FF011000010A555D3B,Boardman,76561198133632315
FF011000014253DFDC,Moof | Sunbelt Racers X BL,76561199073058780
FF011000010EB870C3,endo,76561198207234243
FF011000013EBDED80,Aidan | KBell Racing | DDC,76561199012900224
FF0110000103E89D64,Ruubs | MXB-Mods Racing,76561198025842020
FF0110000102831E36,Pock3d | KDR,76561198002413110
FF01100001433D315D,Ryder | RD Factory Racing x FXR,76561199088349533
FF01100001365F478F,CH,76561198872479631
FF011000013CD64778,Greg the Legend,76561198980941688
FF011000011AF867CD,GAr | TRY HARD,76561198412752845
FF0110000102A1258D,Crapouette91 | MX911,76561198004381069
FF0110000141B40079,Hemi | Start Your Systems,76561199062581369
FF0110000113BCBAF6,Lucas Aredes | Try Hard,76561198291401462
FF011000010687E9AA,Krokette | KDR x KMX DECALS,76561198069836202
FF0110000114F8E9D2,that guy,76561198312122834
FF011000014222E32B,Dairy Berry,76561199069848363
FF0110000109A8593E,Dad Shoes | DDC,76561198122293566
FF01100001025886B6,jesus,76561197999621814
FF01100001431D6BDE,FF01100001431D6BDE,76561199086267358
FF011000014120C623,ElBeePee_ | Frosted Paint Co,76561199052932643
FF0110000112983FB4,Jack | McCreations,76561198272233396
FF01100001337CB1C7,PEPE SILVIA,76561198824075719
FF0110000105ABD236,tyrm88,76561198055412278
FF011000010A374862,Bordim | TH Monster Energy,76561198131660898
FF011000010C57EBA0,LastFriday,76561198167354272
FF0110000108F98816,tPatt244,76561198110836758
FF011000011C29A59E,Feitosa,76561198432757150
FF011000010B78CC27,Ezra | NMR x Solitude Visuals,76561198152731687
FF011000010D4A3691,Reevesy | Solitude Visuals ND,76561198183233169
FF0110000116D084BE,Sven,76561198343029950
FF01100001418853AD,Braydo | Blitz Co. x Bennetton,76561199059719085
FF011000013F8A258D,MOTO,76561199026283917
FF0110000132FD1A08,McCracken | MotoMart,76561198815713800
FF011000010EFF6DFD,Millerito,76561198211886589
FF0110000146409FF4,Colton97351,76561199138906100
FF011000014543E805,Washed | TGR x RD,76561199122343941
FF0110000103B2B5B3,Meattugger,76561198022309299
FF01100001453FA218,Cumski,76561199122063896
FF01100001188E7F95,JORDO | Ex Crew,76561198372257685
FF0110000142DB907C,Dyax | ATLAS x PPFS,76561199081951356
FF011000013D253084,cast | TGR,76561198986113156
FF01100001172B3427,Mason,76561198348973095
